HNSCC5_p14_HNSCC5_P14_LN_B07	HNSCC5_p14_HNSCC5_P14_LN_C08	HNSCC5_p5_P5_E05	HNSCC5_p14_HNSCC5_P14_LN_A07	HNSCC5_p7_HNSCC5_P7_C10	HNSCC5_p9_HNSCC5_P9_B07	HNSCC5_p15_HNSCC5_P15_E11	HNSCC5_p7_HNSCC5_P7_D04	HNSCC5_p5_P5_E03	HNSCC5_p9_HNSCC5_P9_A02	HNSCC5_p13_P13_D03	HNSCC5_p15_HNSCC5_P15_A12	HNSCC5_p13_P13_C06	HNSCC5_p3_HNSCC5_P3_G07	HNSCC5_p13_P13_G04	HNSCC5_p9_HNSCC5_P9_G06	HNSCC5_p9_HNSCC5_P9_H06	HNSCC5_p7_HNSCC5_P7_A02	HNSCC5_p13_P13_B12	HNSCC5_p3_HNSCC5_P3_E03	HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p14_HNSCC5_P14_LN_G08	HNSCC5_p14_HNSCC5_P14_LN_A04	HNSCC5_p7_HNSCC5_P7_F10	HNSCC5_p13_P13_C09	HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p13_P13_A10	HNSCC5_p15_HNSCC5_P15_G06	HNSCC5_p15_HNSCC5_P15_F04	HNSCC5_p9_HNSCC5_P9_G04	HNSCC5_p9_HNSCC5_P9_D04	HNSCC5_p14_HNSCC5_P14_LN_C03	HNSCC5_p9_HNSCC5_P9_D08	HNSCC5_p9_HNSCC5_P9_D10	HNSCC5_p14_HNSCC5_P14_LN_E09	HNSCC5_p9_HNSCC5_P9_B08	HNSCC5_p15_HNSCC5_P15_E07	HNSCC5_p7_HNSCC5_P7_D10	HNSCC5_p14_HNSCC5_P14_LN_E12	HNSCC5_p9_HNSCC5_P9_E08	HNSCC5_p5_P5_E04	HNSCC5_p9_HNSCC5_P9_D03	HNSCC5_p9_HNSCC5_P9_B09	HNSCC5_p14_HNSCC5_P14_LN_G09	HNSCC5_p13_P13_D01	HNSCC5_p7_HNSCC5_P7_A04	HNSCC5_p7_HNSCC5_P7_B09	HNSCC5_p9_HNSCC5_P9_E02	HNSCC5_p5_P5_F11	HNSCC5_p13_P13_E03
CLDND1	0.38294320968045	0.424781265623331	0.557719175444007	0.531749925839033	0.74157912047164	1	0.494226656800349	1	0.46277856053843	1	0.611560688710955	1	0.569006632484983	1	0.52853656117251	0.750797920560067	0.375160337328865	0.265733800966965	0.501169109684781	1	0.684824897392931	0.497788264415062	0.284520414570706	0.680858941949236	0.721571792565752	1	0.679894421849783	1	0.405178239834275	0.535254297626334	0.417985919177369	1	1	0.328510173952549	0.680119379018676	0.37222631123219	0.690190495658081	0.660774074262251	1	0.532714164991292	1	0.610267847988655	0.546336559600121	0.532387164342027	0.630856089756672	1	0.635895204592758	0.311347565511253	0.432121802378693	1
FILIP1L	0.406462830066953	0.436066086935003	0.564478822621787	0.560077269604502	1	1	0.49960927840461	1	0.47611396065284	1	0.629608302753178	1	0.583854750895315	1	0.551456331804798	1	0.401200991955392	0.279906346969239	0.526035655692152	1	0.698566666840081	0.522202611082105	0.309810812421295	0.685698204140571	0.727993219305169	1	0.685142262393979	1	0.418833069586341	0.564335906584519	0.437773716988573	1	1	0.355733401400292	0.707892032558438	0.388496602610554	0.700138415065275	0.668251642601604	1	0.544352277849795	1	0.636230466642569	0.566632231712386	0.558198200371226	0.638491077214376	1	0.641290381392526	0.33827046385772	0.447317847531645	1
CD47	0.594824107235278	0.548409559792529	0.668036664712336	1	1	1	0.55885087448851	1	0.610255978732169	1	1	1	0.692145222282222	1	1	1	0.669342774186825	0.452644644009441	0.726329810708473	1	1	0.747565885385867	0.523866203779472	0.75163050467064	1	1	0.729300316753452	1	0.516177193046653	1	0.620417795965636	1	1	0.619941464776491	1	0.52664715464048	1	0.728662580673479	1	0.697254255358598	1	1	1	1	0.709235811222677	1	0.721484896160796	0.603903903908214	0.591664435921504	1
ATP6V1A	0.673770559009805	0.611827894036758	0.727880096597836	1	1	1	0.597860858429613	1	0.676793063369451	1	1	1	1	1	1	1	1	0.53543110307433	1	1	1	1	0.608433897906039	1	1	1	0.750407950990054	1	0.563314487327851	1	0.720769071073083	1	1	1	1	0.571986512883501	1	1	1	1	1	1	1	1	0.747034757919532	1	1	0.721953871707319	0.666680569814727	1
FSTL1	0.72599543293886	0.680601481683821	1	1	1	1	0.624955754036798	1	0.725071474597661	1	1	1	1	1	1	1	1	0.594929757566453	1	1	1	1	0.678964842166049	1	1	1	1	1	0.597606436894168	1	1	1	1	1	1	0.609808502490798	1	1	1.29922167452202	1	1	1	1	1	1	1	1	1	0.723536998789984	1
RUVBL1	1	1	1	1.28441480943427	1	1	1	1.24488539859916	1	1.24113471516848	1	1.29501574327409	1	1.42073491379316	1.24870181749146	1	1	1	1	1	1	1	1	1	1	1	1	1.24381757051584	1	1.27613519220834	1	1.26245489165073	1	1	1.30083143836235	1	1	1	1.60240781607933	1	1	1.2644843070354	1.25388738977523	1.39311319150397	1	1	1	1	1	1.45096587951793
RPN1	1	1	1	1.29932617101745	1	1	1	1.24712524455802	1	1.24438314739614	1	1.30064161698574	1	1.43672268423707	1.26186075158029	1	1	1	1	1	1	1	1	1	1	1	1	1.25701225987209	1	1.29626171063336	1	1.27545099409258	1	1	1.30892187659378	1	1	1	1.62091867831655	1	1	1.27702592678885	1.2745554924617	1.42533365272143	1	1	1	1	1	1.46627813557968
CNBP	1	1	1	1.32858291656281	1	1	1	1.25046586927188	1	1.25502326564975	1	1.30955301354542	1	1.46946123777183	1.28650888505651	1	1	1	1	1	1	1	1	1	1	1	1	1.28161972107251	1	1.33377305592569	1	1.29517785724381	1	1.27507596840629	1.32367529313606	1	1	1	1.65500588202457	1	1.23800302235146	1.30103569633339	1.31494919315542	1.48360736755473	1	1	1	1	1	1.49948895311689
COPG1	1	1	1	1.34218129865212	1	1	1	1.25251378751259	1	1.25984669509852	1	1.31652777143406	1	1.4853723781561	1.30049619993203	1	1.2419035532484	1	1	1	1	1	1	1	1	1	1	1.29431390313726	1	1.35203401915836	1	1.30455788121967	1	1.30050283881897	1.32951242974191	1	1	1	1.66969833996215	1	1.24797691829115	1.31220547690462	1.3338446999187	1.51058832334579	1	1	1	1	1	1.51783348101861
PCCB	1.24986398286189	1.29545799789635	1	1.44192417368384	1.33127674684118	1.25161264041502	1	1.32134461672412	1	1.29210744112753	1.30398199969994	1.35431664179525	1.32886477637821	1.62332291021303	1.46765818795508	1	1.37580874652909	1	1.35480097428553	1.29288348709155	1	1.28012988311968	1.24774013615453	1	1	1.31885689987847	1	1.38742385304038	1	1.43873437472373	1.31265754999418	1.38927712749926	1.2773119328726	1.46446518522036	1.38515409529276	1	1	1	1.69701176144357	1	1.32883448406569	1.37511114699774	1.48209492738115	1.73085034350292	1	1	1	1.27443345909403	1	1.67534806625221
