HNSCC5_p3_HNSCC5_P3_E03	HNSCC5_p3_HNSCC5_P3_D10	HNSCC5_p3_HNSCC5_P3_F07	HNSCC5_p3_HNSCC5_P3_H01	HNSCC5_p3_HNSCC5_P3_C11	HNSCC5_p3_HNSCC5_P3_G07	HNSCC5_p3_HNSCC5_P3_A04	HNSCC5_p9_HNSCC5_P9_B10	HNSCC5_p9_HNSCC5_P9_D08	HNSCC5_p9_HNSCC5_P9_D03	HNSCC5_p9_HNSCC5_P9_B11	HNSCC5_p9_HNSCC5_P9_H03	HNSCC5_p9_HNSCC5_P9_H10	HNSCC5_p9_HNSCC5_P9_B06	HNSCC5_p9_HNSCC5_P9_A02	HNSCC5_p9_HNSCC5_P9_G04	HNSCC5_p9_HNSCC5_P9_A06	HNSCC5_p9_HNSCC5_P9_B07	HNSCC5_p9_HNSCC5_P9_G07	HNSCC5_p9_HNSCC5_P9_D04	HNSCC5_p9_HNSCC5_P9_G11	HNSCC5_p9_HNSCC5_P9_G09	HNSCC5_p9_HNSCC5_P9_D10	HNSCC5_p9_HNSCC5_P9_E09	HNSCC5_p9_HNSCC5_P9_B09	HNSCC5_p9_HNSCC5_P9_E10	HNSCC5_p9_HNSCC5_P9_F10	HNSCC5_p9_HNSCC5_P9_A08	HNSCC5_p9_HNSCC5_P9_G02	HNSCC5_p9_HNSCC5_P9_F12	HNSCC5_p9_HNSCC5_P9_A09	HNSCC5_p9_HNSCC5_P9_G06	HNSCC5_p9_HNSCC5_P9_H06	HNSCC5_p9_HNSCC5_P9_D05	HNSCC5_p9_HNSCC5_P9_F09	HNSCC5_p9_HNSCC5_P9_C12	HNSCC5_p9_HNSCC5_P9_E08	HNSCC5_p9_HNSCC5_P9_C03	HNSCC5_p9_HNSCC5_P9_B08	HNSCC5_p9_HNSCC5_P9_H08	HNSCC5_p9_HNSCC5_P9_E02	HNSCC5_p14_HNSCC5_P14_LN_F03	HNSCC5_p14_HNSCC5_P14_LN_A09	HNSCC5_p14_HNSCC5_P14_LN_C03	HNSCC5_p14_HNSCC5_P14_LN_E08	HNSCC5_p14_HNSCC5_P14_LN_H11	HNSCC5_p14_HNSCC5_P14_LN_G08	HNSCC5_p14_HNSCC5_P14_LN_G06	HNSCC5_p14_HNSCC5_P14_LN_D01	HNSCC5_p14_HNSCC5_P14_LN_C01	HNSCC5_p14_HNSCC5_P14_LN_A04	HNSCC5_p14_HNSCC5_P14_LN_C09	HNSCC5_p14_HNSCC5_P14_LN_G09	HNSCC5_p14_HNSCC5_P14_LN_B06	HNSCC5_p14_HNSCC5_P14_LN_B07	HNSCC5_p14_HNSCC5_P14_LN_C08	HNSCC5_p14_HNSCC5_P14_LN_E09	HNSCC5_p14_HNSCC5_P14_LN_A07	HNSCC5_p14_HNSCC5_P14_LN_F05	HNSCC5_p14_HNSCC5_P14_LN_D10	HNSCC5_p14_HNSCC5_P14_LN_E12	HNSCC5_p5_P5_H06	HNSCC5_p5_P5_B05	HNSCC5_p5_P5_E11	HNSCC5_p5_P5_F11	HNSCC5_p5_P5_E04	HNSCC5_p5_P5_E05	HNSCC5_p5_P5_E03	HNSCC5_p5_P5_E12	HNSCC5_p5_P5_A08	HNSCC5_p5_P5_D05	HNSCC5_p7_HNSCC5_P7_D04	HNSCC5_p7_HNSCC5_P7_B09	HNSCC5_p7_HNSCC5_P7_A02	HNSCC5_p7_HNSCC5_P7_A04	HNSCC5_p7_HNSCC5_P7_G02	HNSCC5_p7_HNSCC5_P7_A12	HNSCC5_p7_HNSCC5_P7_F10	HNSCC5_p7_HNSCC5_P7_D10	HNSCC5_p7_HNSCC5_P7_C10	HNSCC5_p7_HNSCC5_P7_G07	HNSCC5_p7_HNSCC5_P7_F12	HNSCC5_p7_HNSCC5_P7_C07	HNSCC5_p7_HNSCC5_P7_C12	HNSCC5_p7_HNSCC5_P7_G04	HNSCC5_p7_HNSCC5_P7_E07	HNSCC5_p7_HNSCC5_P7_G05	HNSCC5_p13_P13_A05	HNSCC5_p13_P13_H07	HNSCC5_p13_P13_E03	HNSCC5_p13_P13_C07	HNSCC5_p13_P13_G05	HNSCC5_p13_P13_D03	HNSCC5_p13_P13_C06	HNSCC5_p13_P13_B05	HNSCC5_p13_P13_A10	HNSCC5_p13_P13_G04	HNSCC5_p13_P13_D11	HNSCC5_p13_P13_A08	HNSCC5_p13_P13_C09	HNSCC5_p13_P13_G08	HNSCC5_p13_P13_F10	HNSCC5_p13_P13_H01	HNSCC5_p13_P13_D01	HNSCC5_p13_P13_F04	HNSCC5_p13_P13_H11	HNSCC5_p13_P13_D08	HNSCC5_p13_P13_H09	HNSCC5_p13_P13_B12	HNSCC5_p13_P13_H08	HNSCC5_p13_P13_C11	HNSCC5_p15_HNSCC5_P15_D03	HNSCC5_p15_HNSCC5_P15_B12	HNSCC5_p15_HNSCC5_P15_B10	HNSCC5_p15_HNSCC5_P15_E11	HNSCC5_p15_HNSCC5_P15_F03	HNSCC5_p15_HNSCC5_P15_A01	HNSCC5_p15_HNSCC5_P15_E03	HNSCC5_p15_HNSCC5_P15_B07	HNSCC5_p15_HNSCC5_P15_B05	HNSCC5_p15_HNSCC5_P15_B08	HNSCC5_p15_HNSCC5_P15_D08	HNSCC5_p15_HNSCC5_P15_F04	HNSCC5_p15_HNSCC5_P15_F09	HNSCC5_p15_HNSCC5_P15_A11	HNSCC5_p15_HNSCC5_P15_A09	HNSCC5_p15_HNSCC5_P15_B03	HNSCC5_p15_HNSCC5_P15_G06	HNSCC5_p15_HNSCC5_P15_A12	HNSCC5_p15_HNSCC5_P15_G03	HNSCC5_p15_HNSCC5_P15_A04	HNSCC5_p15_HNSCC5_P15_E07
UBE2E2	0.555028093990385	0.574714285850827	0	0.215129390430845	0.18558319795779	0.15793339642909	0.160278966746686	0.130201988530425	0.0128335807426669	0.30647793941503	0.479057701448065	0.0852056437101993	0.275808856890923	0.303874343678524	0	0.324974078056046	0.351231545636199	0.430026461063443	0.0300645374300663	0.15724704915699	0.22820891451555	0.575829321305144	0.414892256524585	0.437507531585274	0.151490018639788	0.0675239578224882	0.375043412336143	0.512517595841766	0	0.47597325739885	0.204223446345441	0	0.230177284520611	0.05267225286721	0.329927962913314	0	0.0133329813707272	0.0082364640028797	0.218217187411359	0.626694542822886	0	0.36477174022791	0.385824631037287	0	0.640283707519401	0.10809137627806	0.0805653923064956	1	0	0.318237088637288	0.0548319747314183	0	0.655683392346061	0.13261369916563	0.0356707982556433	0.534477335116872	0.255345721699353	0	0.0995885654946522	0.0561604897702783	1	0.0629696491905859	0.14817633047562	0.505305306155487	0.249790209995374	0.0220169790930754	0.297071181073923	0.0535468593930339	1	0.352652477211707	0.494648074420699	0.0642238065880567	0.190677776230881	0.532300514309138	0.199207925004932	0.504849155157078	0.330868513066273	0.332044652623504	0.119000572665476	0.192499292861561	0	0.300199510510093	0.596844663943686	0.395647008744926	0.151215400337824	0.44015312527647	0.291442830416568	0.247736604095145	0.634994064307543	0.550272850535115	0.269118920276109	0.391828923932777	0.67314323977713	0.136826888127226	0.119451446326186	0.258647905106919	0.487486524484575	0.0426800866572269	0.293456633952176	0.111668189109358	0.551692533865662	1	0.409312660791451	0.146709875448529	0.412352201768641	0.657939413833198	0.503467124596718	0.737242836307963	0.129597018548814	0.485454731776961	0.545717728182768	0.689371051262093	1	0.253179183350253	0.403687208184197	0.291339642586068	0.74265722593633	1	0.334682467363775	1	1	0.223123208541491	0.161626135776186	0.552586466121792	0.451766095810904	0.305526699959126	0.685055730774767	0.0636105825510107	0.308303766273317	0.464216605961104	0.555409755672524	0.536589101287546
RPL15	0.557123923431954	0.565913092787864	0	0.218289868085701	0.186710923430259	0.152505299893406	0.159510837584791	0.135151100048735	0.0292147619288696	0.289258134138369	0.481934368706889	0.0839323203577783	0.275896165568733	0.308143461487315	0	0.316986653083953	0.351094751440495	0.43181734805324	0.0257596101815682	0.160963259407817	0.226721731371382	0.564192318556287	0.403496605402512	0.443892971809417	0.151878451246264	0.0725631834789524	0.367694397462738	0.510227619741001	0.00753027598784539	0.474456617930113	0.201476014429292	0	0.222964835746765	0.0479955928374998	0.324201931197083	0	0.0140641771898091	0.011165708790552	0.221089009644108	0.624925477259844	0	0.366269419083526	0.391904714094326	0	0.631759078759942	0.119046701409348	0.0851368484878626	1	0	0.310792235141311	0.0549335606963742	0	0.648757044696268	0.133034061854744	0.0324455411164533	0.526513091936274	0.24545852685502	0	0.0989667530705058	0.0633123707235655	1	0.0731171027597162	0.143114856069926	0.507702223066387	0.25338188226357	0.0320337679940975	0.294475581284902	0.0626929303166602	1	0.358189929883116	0.491322278821082	0.0624777008200166	0.196823526747966	0.53096489438138	0.209520561146308	0.500787492767758	0.32960857192162	0.335351395567364	0.1193069732281	0.199109395197611	0	0.305993782071703	0.601662015234314	0.395316213577319	0.162219108430479	0.444228958064019	0.298681250334336	0.249555945469179	0.637720838047136	0.555135389595309	0.278475430849839	0.395758319981383	0.669441498972426	0.142240647715417	0.132835717201762	0.272058801902565	0.466428361020317	0.0600289809100725	0.291279749750439	0.12461040385015	0.545285120903441	1	0.408286548942696	0.162642748693411	0.416417178576094	0.661412916594593	0.482580744626752	0.728009793466158	0.131671121615691	0.481790937993379	0.534810065803865	0.690216613336004	1	0.257874374660491	0.41840669792584	0.28879825402199	0.740519397490144	1	0.339136054747777	1	1	0.2201605718681	0.156451020772601	0.558099655539868	0.449793986174952	0.310731399440818	0.68902435202811	0.0670845643855535	0.313573869038898	0.470921038351973	0.554341282379039	0.533628984912756
CMC1	0.56090294693123	0.558179590547546	0	0.221474905368575	0.186832031925304	0.146137511737376	0.160154971440855	0.139190913254759	0.0458775872268598	0.273862199664516	0.485915759109248	0.0819157129166606	0.277150290408637	0.313568444870115	0	0.308612203763713	0.351052389841227	0.433688067066884	0.0222099163865249	0.163612400028737	0.225343260900792	0.55234655394617	0.391845449953618	0.449791763465153	0.1532720848623	0.0782345896258797	0.361810033440404	0.509735919952808	0.0190068985502811	0.474265668180437	0.198218039674698	0.00327206564289662	0.215217656748154	0.0444303516365505	0.318138654455139	0	0.0159620210207856	0.0152042688776783	0.225031804611215	0.624099380713335	0	0.368892686573782	0.396740146289413	0	0.622585286990437	0.130843312293015	0.0881900324806264	1	0	0.304419813151888	0.0560174302062618	0	0.640911321735145	0.132711811221495	0.0283125257693254	0.520065431022399	0.236825683889627	0	0.0972029107204057	0.0711180787780871	1	0.0839074601050601	0.139552209509199	0.509531421341944	0.257847522686029	0.0421894909650636	0.292457343003433	0.0727775885302717	1	0.365027572020102	0.48904639869367	0.0600635906859661	0.204175357912093	0.528460411510713	0.221018891762804	0.49863012671765	0.330019405939742	0.340256790936768	0.120543087334327	0.207047241958705	0	0.313114438559064	0.607349567840333	0.396409479725789	0.173789353457753	0.449618623774907	0.306886780514117	0.250515399134372	0.641602712823653	0.559279252672863	0.288809390407732	0.40070747815099	0.667615704010961	0.146856995848485	0.146516859065339	0.285964506346451	0.445568575069471	0.0776296106904912	0.290351085991412	0.138576301801206	0.540579683991901	1	0.408193787850903	0.177241530162164	0.419282244076761	0.666141949603839	0.46223765598352	0.719457477646908	0.13463017463308	0.479351026841302	0.525353582214713	0.693022488515394	1	0.263507395895446	0.434436961577536	0.287685930077126	0.740483795128221	1	0.345253858498233	1	0.748563918344289	0.218642426248452	0.152850820396788	0.565278387723945	0.449743817150562	0.31732358987487	0.694378525773834	0.0718374982559623	0.32034100720115	0.479207038541857	0.554857500593363	0.532717290073091
AZI2	0.563548530377682	0.550612342266793	0	0.223503941997853	0.189273489346469	0.142118162028349	0.16343940901127	0.145620376942825	0.0642782865290242	0.259712287937793	0.489668716682952	0.0824000879213056	0.276711523840778	0.321358798870962	0.000813687449620071	0.29934206955505	0.351535083880399	0.438392627954517	0.0211180004323214	0.166347961250465	0.224338328009653	0.54377607782855	0.37699242162468	0.454098781439866	0.151186865194881	0.0827355510613834	0.356742530424708	0.507924071126282	0.0304085055070423	0.470181797566827	0.191627169533309	0.00535190820187514	0.208193568159309	0.0395420515483208	0.310924539881115	0	0.018184398330015	0.0177249859675591	0.229181191112563	0.622114276341251	0	0.371749710086492	0.401686876306544	0.00658944748192281	0.609718464501345	0.142271260203555	0.0910222269389765	1	0	0.298223728368914	0.0532689925069486	0	0.633525144811438	0.128874751353168	0.0205629802428189	0.509854806759377	0.228546209813781	0	0.0955703902453167	0.0787663913949149	1	0.0925820714831923	0.138728737740687	0.513419213149471	0.2648065720698	0.0545633226979102	0.293283452075509	0.0811015289374283	1	0.370165213701938	0.486134584629393	0.0567597174889172	0.214084643226231	0.526160707945119	0.231126929311483	0.49687631071671	0.333353345180974	0.341907493610998	0.124041176820807	0.215781085816512	0	0.31908351407142	0.612256447713697	0.400501904129293	0.186289303968344	0.454947847924289	0.316103605306253	0.253480221618385	0.648462497260355	0.566060574169519	0.299264788320092	0.408225676074335	0.662871386667736	0.150604560947436	0.162057209197248	0.299756379966447	0.426154249930458	0.0969011060169295	0.288012428764114	0.152738276641226	0.536610495411982	1	0.403898833767162	0.191690404957595	0.422303767842066	0.673410251050192	0.443239703290228	0.711844895465629	0.139651133716833	0.473086656974557	0.516765812247689	0.699035338532056	1	0.269448497443546	0.449534014514115	0.287098453336286	0.742027811531738	1	0.353818358221758	1	0.739675254249135	0.217673249460002	0.151952100462245	0.575373272310481	0.450661254353902	0.324413499509742	0.702685809695092	0.0770186892585589	0.326648656752965	0.488171691693389	0.5551049234667	0.53506020590753
RBMS3	0.569122323923844	0.546086219710525	0	0.224435692367737	0.192209659731676	0.13861961933195	0.169519949657731	0.15263436059243	0.0789753710819781	0.248879453393511	0.496378170598773	0.079797777060698	0.276510228157494	0.32760204964922	0.00564322034477671	0.287469719003199	0.352821506137153	0.445639257842822	0.0206958827572529	0.169465460895214	0.223984042060135	0.536460888612375	0.363556644893815	0.461416105767817	0.150080867012436	0.0859816187333218	0.352744547078302	0.507298499897744	0.038547734745723	0.464903255405161	0.186184216718802	0.00812262537683706	0.202138678680262	0.0356318327902876	0.303028264408766	0	0.0210052170405812	0.0170244217570814	0.230922270177603	0.620378126754028	0	0.375139932643166	0.407055939865785	0.0168113415337907	0.597994565570724	0.153661491923976	0.0939409785337362	1	0	0.292487788740061	0.0510863870864695	0	0.626882962945103	0.122374189370439	0.00968298727730776	0.500641618273149	0.220886645887472	0	0.0943512845799155	0.0826406743647362	1	0.103641575840615	0.140788773116443	0.516189572927651	0.268344377591995	0.0693612153385204	0.292899978192036	0.0883199804902034	1	0.373209123672424	0.486579759625744	0.0560968006200793	0.22208117401103	0.524366777126259	0.240236248920825	0.49833025875248	0.336021029526178	0.346767121124202	0.129931643448162	0.227271832723313	0.00478466609429506	0.325740295337997	0.61695190524728	0.407734537036338	0.201241480310873	0.45960074876062	0.32737792725281	0.256979266353484	0.6520839337238	0.569323692680388	0.310156153636926	0.418506011824229	0.655065221644902	0.153437616586525	0.178661741091291	0.315816406513458	0.410323397762801	0.11412509138959	0.286679654191192	0.168135005328493	0.535779796275338	0.747228667654421	0.400966650691891	0.208327792474555	0.42160581488306	0.683425973219982	0.425787318313813	0.705432907033677	0.144944019457239	0.463519042129235	0.511422788109766	0.703583022066312	1	0.275993100322257	0.461635437139107	0.285177244250995	0.74267796108561	1	0.361811187342305	1	0.734705325410012	0.219534497140834	0.15191222210792	0.584047276779571	0.450802904494907	0.330549498137333	0.707729212213505	0.0843703573261871	0.331804176320561	0.495236970261635	0.554604360815808	0.537548322237398
TGFBR2	0.575443762138498	0.544973760586305	0	0.225823478098791	0.19546201588723	0.135452614523982	0.178120797444312	0.156675970036617	0.0956023896040441	0.241156050960061	0.502933059272605	0.0797571978390434	0.278865460060221	0.330197794816163	0.0127472319992958	0.275179144453922	0.35674106041786	0.455349272945596	0.0207552481658506	0.168867002701949	0.225383217046127	0.532249500287121	0.3512746553389	0.471452606033737	0.151700167510323	0.0916063299101956	0.345533732448933	0.506794809167378	0.0487972514655505	0.462394166484242	0.183628589898477	0.00930336773150875	0.195696627099949	0.0344004936658469	0.292699736613433	0	0.0261548655829805	0.0188330806475667	0.22911073963167	0.619698729077862	0	0.380918482173879	0.408567107276966	0.0266413594860712	0.587162422028479	0.164066968007287	0.0967910303351973	1	0	0.289024159300178	0.0492827436418906	0	0.620763857914119	0.118659067354882	0.00138340926420333	0.492190168838822	0.21562231539065	0	0.0933670472724646	0.0867508909013941	1	0.116941492727753	0.145048994332826	0.518263190443772	0.274476036380639	0.0859089541012419	0.295354407963171	0.0959218235656168	1	0.376926338199482	0.487881084410024	0.0576973221097117	0.229473130330395	0.522881575931877	0.251901541976029	0.502791753991625	0.341583598035591	0.35452297738055	0.137794875023314	0.241062020791735	0.0246597999458578	0.335207002913386	0.62226237258544	0.41782255440749	0.214557246256905	0.463549242203401	0.338712073422613	0.262827715714756	0.656612139138575	0.571101665536127	0.318589706618685	0.42966116384477	0.644342011564272	0.157313986436531	0.192058325624984	0.332247538778161	0.395464361757884	0.131309474589204	0.284642117717858	0.180349146247821	0.534769673567652	0.737872742324769	0.398307107542191	0.222962321995039	0.417215259540456	0.695903688106905	0.409600231678278	0.695658416191582	0.150346765339285	0.452137312951386	0.508169385995139	0.71122479359246	1	0.281106305113598	0.474093355975852	0.283923590230797	0.745354345271251	1	0.370974285395725	1	0.731852627102998	0.220383335671598	0.153090690551802	0.595679741637435	0.448611676106812	0.333907451579732	0.715311929914449	0.0902688745311918	0.337987052431015	0.501845275186828	0.554372731954726	0.541834848931092
CMTM6	0.580275796470635	0.546162198161455	0	0.226433618219098	0.199349121423975	0.132920460832686	0.187532685830331	0.160143434793635	0.112521061904761	0.234741502267491	0.512634557678126	0.0805744502993375	0.282019483050462	0.334419001116547	0.020473956282741	0.264291774915453	0.361512773600123	0.468030202163721	0.0234681673216058	0.168923052212183	0.227507270617648	0.531325855040636	0.340403543571332	0.478757494997899	0.155516500162139	0.0945475078686656	0.337599371021049	0.505472957291311	0.0610512094897627	0.460818573220391	0.18220219918869	0.0113544166284895	0.190324122266723	0.034148920185018	0.283845246237675	0	0.0327355831475827	0.0214727731041868	0.228156219498652	0.618880432529396	0	0.387313275067641	0.410787356459704	0.0364305073577174	0.577510843612955	0.174671803293112	0.0999025038341854	1	0	0.286072212433967	0.0500434165438348	0	0.615486373707583	0.112304495025269	0	0.484794511105716	0.211004192800496	0	0.0931218557473528	0.0913054063820355	1	0.130815745792617	0.150192509999609	0.521563885094299	0.281453125878958	0.104903769363467	0.30016808987996	0.1010629178202	1	0.381630508708092	0.490426213799624	0.0613917017537132	0.23655595464963	0.522036175464325	0.266006011256154	0.507002118939927	0.349916654556758	0.360557174581315	0.146026359663098	0.255365777133695	0.0448575951136492	0.34271887570713	0.627313794916124	0.42727308561701	0.228609099457221	0.466454115045849	0.351619598888183	0.269291286196714	0.660912383209652	0.575977060663532	0.324719375918527	0.441571895746793	0.63330439470021	0.16214350082147	0.207631626582841	0.351040339239749	0.379678781783035	0.148808893212882	0.285710195806686	0.192030356302581	0.534809969118966	0.730216059691268	0.396243515151216	0.237986701034529	0.413696172496095	0.708989127283872	0.39492576607894	0.687285542732805	0.156188486994335	0.441973495214348	0.505979803934454	0.722302935466193	1	0.283204442866696	0.487685396538034	0.283636355619586	0.746064599199818	1	0.379158281802007	1	0.726803396349704	0.218426131360077	0.157127594085606	0.606710677539376	0.444305722990072	0.334355799728626	0.721913394836176	0.0959872937868521	0.345729253593475	0.508531671369997	0.553884932873642	0.546308216855846
DYNC1LI1	0.58608815225049	0.547691144751524	0	0.228944536235883	0.204549312443238	0.133569219860633	0.197248969657821	0.167047326455362	0.130438310770888	0.230265604930769	0.520022649943826	0.0847672169846663	0.282766305218964	0.340151475268272	0.0313386750071027	0.257360076364728	0.365949521132519	0.480571237714595	0.0249796640936093	0.172097417139371	0.232954936452662	0.533963380784132	0.329612899473631	0.485777474201507	0.15920580415457	0.0982220685660221	0.329980738330879	0.504732576051887	0.0744094398795647	0.4608643957602	0.179107316625728	0.0167404454631478	0.188567635489349	0.0373638299297292	0.27354043901691	0	0.03988544911815	0.0274378963983412	0.228720975398977	0.618582036488723	0	0.395204425967431	0.412237020396589	0.0431611221084686	0.565625905675646	0.182368239218134	0.103956074247419	1	0	0.286257965035197	0.0520711865949689	0	0.607637055599318	0.10774985450833	0	0.479128184624448	0.207695518980363	0	0.0903266392590746	0.0932276619342391	1	0.144632887501777	0.155357529977383	0.524754784486295	0.289421336695241	0.124455907069862	0.306638548619581	0.106331614957887	1	0.386599258757625	0.492883167371643	0.0684146795741397	0.243670138187193	0.52254189971414	0.280227373858554	0.511975123168226	0.357161239154029	0.368368700753287	0.154153092963951	0.267984476904735	0.0626102043450519	0.350573924153783	0.633931525930656	0.440534196926418	0.241052004134324	0.469627635633929	0.365616658374352	0.275133198536626	0.665298283857618	0.580470378031122	0.332323810518	0.456244069653606	0.621055554107629	0.168772737447359	0.22133951235913	0.367141737990029	0.366138101142326	0.169236737561234	0.286564513068713	0.204163358429898	0.536596085627515	0.726683369356278	0.395470532931091	0.252184824143299	0.411729443090567	0.721346972708325	0.379637952975751	0.678910333516754	0.1601927696627	0.433681710211952	0.501497450427247	0.734010226453699	1	0.285592072741902	0.500920835808614	0.283038373125166	0.747326401765031	1	0.387817861373999	1	0.722080959260041	0.216230263977566	0.160214433526669	0.617987054098696	0.441410996561628	0.338300331604161	0.727646791678721	0.100959075614658	0.353566315129696	0.515267190533228	0.553596540729263	0.551587389814442
GLB1	0.590185010554668	0.548129298877029	0	0.230070926576878	0.207027849944084	0.135187795432368	0.208212199984795	0.175170278650409	0.145405687719978	0.223851610190145	0.525153850301298	0.0882991152446989	0.284829554922757	0.347124280748541	0.0432014704357827	0.250163331593245	0.371129543336985	0.492846311882415	0.0276693875419222	0.174400534683709	0.237584681368282	0.53408435075669	0.320597096649174	0.490325168194007	0.160730672749815	0.100028714505389	0.322146633637609	0.505691230935547	0.0867995084402938	0.45828470401903	0.171966863002081	0.0221088428077348	0.186287283636728	0.0385139432491163	0.263476329466409	0	0.0481121618050347	0.0327416154663318	0.228631193574643	0.615367798869239	0	0.39828690543916	0.409001872078121	0.0485963286068181	0.55138190870241	0.188756558710931	0.10685830368652	1	0	0.28539561168918	0.0496100995476441	0	0.595080514743189	0.102846119778803	0	0.474879902211246	0.205420275079185	0	0.0863775754991986	0.0942774777952845	1	0.159411779024157	0.161846597939818	0.525502106072564	0.293469083994948	0.14299326870341	0.310887642448055	0.112927684356599	1	0.391049432278499	0.491060724061968	0.0730034416613953	0.248511391458895	0.522117196706225	0.290500227536112	0.517043474586776	0.362722929216228	0.375132624110082	0.163477051654173	0.281397607019882	0.0757299779271329	0.356124928252523	0.639209503864671	0.452158048764229	0.251316734557322	0.470604360549654	0.37847425337628	0.278252017253411	0.667177862134368	0.586400230030348	0.336969282873537	0.468089057340349	0.607194847948875	0.172962578914371	0.234033394199151	0.380256950808947	0.354236001176031	0.186647329448985	0.288918376899132	0.217560044072407	0.539830215094814	0.718864269766885	0.393757015764858	0.26539642042269	0.407652826454442	0.730373105392791	0.362348687156056	0.666192659342339	0.159539716239509	0.424378113579182	0.498582168780979	0.743188367224788	0.744967225273745	0.289337135783051	0.511072818061923	0.281929567920707	0.749921239756552	1	0.39638082477938	1	0.715768416237984	0.209814705359159	0.159201112558523	0.62670924429196	0.436519559408865	0.339631034293069	0.728880923097453	0.104506962593982	0.359054547461682	0.521216305374729	0.551943252208534	0.554324982017612
CRTAP	0.595456850472726	0.547669735535677	0.00817621973757721	0.228933876548563	0.205919860638089	0.134885971853301	0.217401254377439	0.179924304409336	0.160264571764215	0.214425755558665	0.528279571819903	0.0890226829204893	0.287930971610407	0.350466011694124	0.0563696877287603	0.24163074910144	0.378259348706238	0.501538939883264	0.0316469865777812	0.17674663029928	0.239979898644653	0.530837273684797	0.312258687629	0.492838987517092	0.159052141502163	0.100227102639861	0.316027274573417	0.508956782877259	0.0964757730850622	0.458008502067734	0.16183283194355	0.0293957470351359	0.180673270512056	0.0400427693789812	0.251379894222751	0	0.0564322107936464	0.0346657463437078	0.227930604088604	0.611432886374379	0	0.401531531240505	0.40798907068324	0.0548120010879923	0.537788861856055	0.192581914444325	0.109524500159625	1	0	0.28442181433418	0.0473187663210319	0	0.582955985896213	0.094818454321319	0	0.471202186227694	0.203148664293169	0	0.0797141327702287	0.0956854765481602	1	0.17523343811762	0.166600041748884	0.523453220262386	0.296237859364068	0.160697016413712	0.316223744091071	0.119842646868332	1	0.393103072682542	0.486069562883443	0.0763202074981283	0.255487439679034	0.521733017482908	0.298534319670701	0.52393780421735	0.368855037845939	0.383780776295095	0.174977090860745	0.291433014749714	0.0907211984429508	0.362562816211883	0.64358357301581	0.460945959048368	0.259506961075246	0.469744676503731	0.387951596743593	0.282019297299782	0.666982141937218	0.594661068723012	0.339397428086161	0.480164230485118	0.592803393130205	0.178777544372583	0.246654859212229	0.393348973050782	0.344225743845576	0.200211758249246	0.289340971800277	0.232364227479549	0.545232808628831	0.713488944851709	0.392051900141636	0.274796643222767	0.403857400327345	0.735472861051895	0.342153332151591	0.654314989918083	0.159789024444958	0.411733786769	0.492578725800389	0.750969071556654	0.737232287457666	0.295283493795974	0.522598462316999	0.281222494556417	0.750777849635001	1	0.403068283566014	1	0.712569207753337	0.20557775423767	0.159884516449966	0.637358974234543	0.434178718046307	0.341846139706913	0.732161632604018	0.109415257662136	0.366202932144504	0.524792412257536	0.549162694837999	0.555574023428834
PDCD6IP	0.603271759800663	0.548554533367379	0.0192785110758256	0.229191955380784	0.207988145697155	0.135692335574455	0.225147353513311	0.182960516986909	0.174075306741069	0.205239353613272	0.531641956706193	0.0910286332427702	0.288667469127826	0.35476876469181	0.0706313718427571	0.232881322763789	0.386769652156279	0.510639145243827	0.0332942510885473	0.176585279930683	0.243658664552179	0.531295762964596	0.302234193368651	0.493743672899327	0.159839704378198	0.101976558850808	0.3105457635372	0.513977702371831	0.10380441308751	0.455331632580411	0.15339671342191	0.0350136060281906	0.172965420202464	0.0419104489568028	0.241277580321177	0	0.0659324349047024	0.0379759767923099	0.228611372258886	0.608730486114878	0	0.404438482511515	0.40644270255437	0.0617169369919793	0.525788261688569	0.197415585907132	0.112935856325324	1	0	0.286327152649809	0.042699183884836	0	0.572157518938786	0.089830980241955	0	0.468972223779355	0.201983964707525	0	0.071252778459546	0.0981975448021518	1	0.18972063968034	0.169712167390104	0.519437666272761	0.296847573304151	0.179615374980399	0.322318788074626	0.125399133158503	1	0.392981636463444	0.481660802165788	0.0810068993672241	0.261839656741182	0.522560024163367	0.310002505585012	0.530429691892953	0.374428654943286	0.393395153674634	0.186711593328147	0.300464395438577	0.103704887072498	0.369693797865735	0.648326332852462	0.471236309909998	0.267308439983016	0.467856739486257	0.397023301468983	0.283341549378685	0.670580512142284	0.603925397818434	0.340816119708055	0.489943607398196	0.580198654732253	0.186078988061092	0.258701720504758	0.407586740319807	0.337935351937321	0.21472965276084	0.288068454594225	0.246011859981342	0.550154979931008	0.70586575818816	0.392089682814278	0.285385228376782	0.400050868884484	0.742061557081858	0.32404242894826	0.642434310844053	0.161212771775371	0.400843787200607	0.488275392654108	1	0.731213008546033	0.304483919860673	0.532794293378575	0.282022629931343	0.751266953991774	1	0.40830796694135	1	0.710331264821458	0.20109970813048	0.16207436907677	0.647253418830122	0.43192837969602	0.347630233919089	0.734283713604927	0.113187526926085	0.376364025015474	0.527865689628567	0.54650380460448	0.557413210024619
